label,status,summary_path,qat_seed,split,model_id,mean_dice,mean_iou,mean_binary_ece_roi,mean_binary_ece_boundary,mean_latency_ms,onnx_model_size_mb,compression_ratio_vs_fp32,threshold,dice_drop_vs_fp32,passes_dice_drop_gate_002
fp32_onnx_test,available,E:/automations/Deployable MedSAM/results/tables/student_distilled_lora_teacher_fp32_onnx_test_onnx_cpu_eval_summary.csv,,test,student_distilled_lora_teacher_fp32_onnx,0.777909,0.666922,0.073204,0.160493,72.864104,1.871842,,,0.0,True
naive_int8_test,available,E:/automations/Deployable MedSAM/results/tables/student_distilled_lora_teacher_int8_test_quantized_eval_summary.csv,,test,student_distilled_lora_teacher_int8,0.744729,0.624883,0.081175,0.163876,55.528338,0.512587,3.651755,,0.03318,False
stage9_selective_ptq_best_test,available,E:/automations/Deployable MedSAM/results/tables/stage9_selective_ptq_best_test_summary.csv,,test,stage9_int8_s64_minmax_preprocessed_last_decoder_fp32,0.745919,0.629845,0.090272,0.293491,59.312384,0.532918,3.512439,0.825,0.03199,False
stage9_qat_int8_seeds_4_6_mean,available,E:/automations/Deployable MedSAM/results/tables/q1_qat_seed_reproducibility_table.csv,4|5|6,test,qat_int8_seed_mean,0.779933,0.67242,0.070579,0.174578,57.87074,0.518702,3.610042,validation-selected,-0.002024,True
