label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s64_percentile_raw,0.8,150,0.757691,0.821769,0.646048,0.801774,0.790045,17,8
s64_percentile_raw,0.775,150,0.75759,0.823816,0.645862,0.79643,0.79529,15,8
s64_percentile_raw,0.75,150,0.757417,0.820284,0.645578,0.791229,0.800325,15,8
s64_percentile_raw,0.825,150,0.757233,0.831532,0.645688,0.812469,0.778664,17,7
s64_percentile_raw,0.7,150,0.757191,0.815845,0.645285,0.786124,0.80526,15,8
s64_percentile_raw,0.725,150,0.757191,0.815845,0.645285,0.786124,0.80526,15,8
s64_percentile_raw,0.675,150,0.75673,0.814846,0.644653,0.78766,0.809902,14,8
s64_percentile_raw,0.85,150,0.75652,0.832787,0.644911,0.817617,0.772453,18,7
s64_percentile_raw,0.65,150,0.756056,0.810868,0.643768,0.782333,0.8144,14,8
s64_percentile_raw,0.875,150,0.755847,0.829569,0.644112,0.822979,0.766215,18,7
s64_percentile_raw,0.625,150,0.75536,0.807253,0.642885,0.777215,0.818801,15,8
s64_percentile_raw,0.575,150,0.754528,0.804809,0.641827,0.772036,0.823101,15,8
s64_percentile_raw,0.6,150,0.754528,0.804809,0.641827,0.772036,0.823101,15,8
s64_percentile_raw,0.55,150,0.753689,0.804389,0.640753,0.766812,0.827441,15,8
s64_percentile_raw,0.9,150,0.753561,0.822153,0.641551,0.827166,0.752644,17,9
s64_percentile_raw,0.525,150,0.752527,0.803833,0.63925,0.761472,0.831469,14,9
s64_percentile_raw,0.5,150,0.751312,0.803827,0.637722,0.755861,0.835482,14,9
s64_percentile_raw,0.925,150,0.749796,0.814459,0.637528,0.839143,0.736583,18,9
s64_percentile_raw,0.95,150,0.740372,0.814369,0.627988,0.859359,0.707202,20,10
