model,status,source,sample_count,trainable_parameters,mean_dice,mean_iou,mean_precision,mean_recall,mean_brier_full,mean_brier_roi,mean_binary_ece_full,mean_binary_ece_foreground,mean_binary_ece_roi,mean_binary_ece_boundary,mean_latency_ms,model_file_size_mb,fp32_reference_model_file_size_mb,compression_ratio_vs_fp32,speedup_vs_teacher,speedup_vs_fp32_distilled,dice_drop_vs_fp32_distilled
MedSAM teacher clean,available,teacher_baseline_kvasir_seg_validation_validation_prompt_sensitivity_summary.csv,150,not_available,0.877872,0.798245,0.971473,0.815384,0.023343,0.075472,0.017999,0.120747,0.057778,0.180839,269.083493,not_available,not_available,not_available,1.0,not_available,not_available
GT-only U-Net baseline,available,student_baseline_summary.csv,150,488001,0.723295,0.613103,0.836897,0.718861,0.051328,0.125949,0.041139,0.212928,0.101192,0.172286,20.103093,not_available,not_available,not_available,13.385179,not_available,not_available
Teacher-distilled U-Net,available,student_distilled_fp32_onnx_validation_onnx_cpu_eval_summary.csv,150,488001,0.762628,0.647912,0.793667,0.807839,0.047056,0.098804,0.034836,0.132505,0.073111,0.159504,28.4261,1.871842,not_available,not_available,9.466071,1.0,0.0
Quantized/distilled U-Net,available,stage8_quantization_ablation_best_validation_summary.csv,150,488001,0.715594,0.591018,0.769192,0.764111,0.06352,0.128895,0.048804,0.100405,0.102988,0.357018,27.060673,0.511593,1.871842,3.65885,9.94371,1.050458,0.047034
