label,threshold,sample_count,mean_dice,median_dice,mean_iou,mean_precision,mean_recall,samples_dice_below_0_5,samples_dice_below_0_3
s32_minmax_preprocessed,0.825,150,0.758665,0.828318,0.647277,0.80702,0.786196,17,8
s32_minmax_preprocessed,0.8,150,0.758593,0.827688,0.647073,0.800481,0.792535,16,8
s32_minmax_preprocessed,0.85,150,0.75835,0.829944,0.646944,0.813236,0.779525,16,8
s32_minmax_preprocessed,0.775,150,0.758268,0.825352,0.646551,0.793879,0.798803,16,8
s32_minmax_preprocessed,0.75,150,0.757834,0.822238,0.64597,0.787455,0.804786,16,8
s32_minmax_preprocessed,0.875,150,0.757634,0.83009,0.64615,0.819746,0.772115,16,8
s32_minmax_preprocessed,0.7,150,0.757228,0.817922,0.645162,0.78095,0.810738,15,8
s32_minmax_preprocessed,0.725,150,0.757228,0.817922,0.645162,0.78095,0.810738,15,8
s32_minmax_preprocessed,0.675,150,0.756235,0.81472,0.643918,0.774225,0.816326,14,8
s32_minmax_preprocessed,0.9,150,0.755568,0.828566,0.64397,0.833984,0.75565,16,9
s32_minmax_preprocessed,0.625,150,0.755172,0.812084,0.64257,0.77441,0.821696,15,8
s32_minmax_preprocessed,0.65,150,0.755172,0.812084,0.64257,0.77441,0.821696,15,8
s32_minmax_preprocessed,0.6,150,0.753967,0.804394,0.641058,0.767255,0.827027,15,9
s32_minmax_preprocessed,0.55,150,0.752609,0.803537,0.639332,0.761314,0.831949,16,9
s32_minmax_preprocessed,0.575,150,0.752609,0.803537,0.639332,0.761314,0.831949,16,9
s32_minmax_preprocessed,0.525,150,0.751306,0.795585,0.637733,0.755091,0.836787,16,9
s32_minmax_preprocessed,0.925,150,0.750931,0.823315,0.639062,0.849367,0.735751,19,10
s32_minmax_preprocessed,0.5,150,0.74985,0.796127,0.63594,0.748679,0.841523,15,9
s32_minmax_preprocessed,0.95,150,0.74374,0.815421,0.631689,0.858257,0.713005,20,10
