display_label,model_family,deployment_role,status,split,sample_count,mean_dice,mean_iou,mean_precision,mean_recall,roi_ece,boundary_ece,latency_ms,model_size_mb,compression_ratio_vs_fp32,threshold,exclusion_recipe,calibration_strategy,qat_seed,summary_source,raw_source,dice_drop_vs_fp32_onnx,passes_dice_drop_gate_002
"MedSAM teacher, clean prompt",teacher,upper-bound reference,available,test,150.0,0.863613,0.780167,0.968192,0.797004,0.063678,0.191838,257.550207,,,,not_available,not_available,,teacher_baseline_kvasir_seg_test_summary.csv,teacher_baseline_kvasir_seg_test.csv,-0.085704,not_applicable
LoRA-adapted MedSAM teacher,teacher_lora,adapted teacher,available,test,150.0,0.936846,0.891136,0.949973,0.934923,0.025419,0.082799,276.04522,,,,not_available,not_available,,lora_teacher_kvasir_seg_test_clean_summary.csv,lora_teacher_kvasir_seg_test_clean.csv,-0.158937,not_applicable
Teacher-distilled U-Net,student_distilled,student baseline,available,test,150.0,0.707398,0.583328,0.707648,0.803341,0.086676,0.142356,25.305573,,,,not_available,not_available,,student_student_distilled_test_test_eval_summary.csv,student_student_distilled_test_test_eval.csv,0.07051099999999999,not_applicable
LoRA-teacher distilled U-Net,student_lora_distilled,student checkpoint,available,test,150.0,0.777901,0.666914,0.800009,0.81786,0.073206,0.160489,33.588187,,,,not_available,not_available,,student_student_distilled_lora_teacher_test_test_eval_summary.csv,student_student_distilled_lora_teacher_test_test_eval.csv,8.000000000008e-06,not_applicable
LoRA-student FP32 ONNX,fp32_onnx_reference,deployment reference,available,test,150.0,0.777909,0.666922,0.800018,0.81786,0.073204,0.160493,36.505787,1.871842,,,not_available,not_available,,student_distilled_lora_teacher_fp32_onnx_test_onnx_cpu_eval_summary.csv,student_distilled_lora_teacher_fp32_onnx_test_onnx_cpu_eval.csv,0.0,not_applicable
Naive INT8 QDQ,naive_int8,failed PTQ baseline,available,test,150.0,0.744729,0.624883,0.756275,0.811866,0.081175,0.163876,36.231593,0.512587,3.651755,,not_available,not_available,,student_distilled_lora_teacher_int8_test_quantized_eval_summary.csv,student_distilled_lora_teacher_int8_test_quantized_eval.csv,0.03317999999999999,False
Selective PTQ INT8,selective_ptq_int8,mixed-precision PTQ rescue,available,test,150.0,0.745919,0.629845,0.821276,0.747458,0.090272,0.293491,27.722727,0.532918,3.512439,0.825,last_decoder_fp32,representative,,stage9_selective_ptq_best_test_summary.csv,stage9_int8_s64_minmax_preprocessed_last_decoder_fp32_test_test_best_threshold.csv,0.03198999999999996,False
QAT-distilled selective INT8,qat_selective_int8,final deployable candidate,available,test,150.0,0.782924,0.67426,0.825323,0.802222,0.065884,0.191667,30.96744,0.53292,3.512426,0.65,last_decoder_fp32,qat_boundary_hard,5.0,stage9_qat_ptq_best_test_summary.csv,stage9_int8_s64_minmax_preprocessed_qat_boundary_hard_last_decoder_fp32_test_test_best_threshold.csv,-0.005014999999999992,True
